name,address,Is Early Voting,Precincts (Or Locality-wide),Is Drop Off,lon,lat,V11
BATTLEFIELD ELEMENTARY SCHOOL,"11108 LEAVELLS RD FREDERICKSBURG, VA 22407-5014",False,601 - SALEM - 0000,False,-77.54125,38.26369,
BELMONT FIRE AND RESCUE 9,"7100 BELMONT ROAD SPOTSYLVANIA, VA 22551",False,501 - BELMONT - 0000,False,-77.86652,38.15333,
BERKELEY COMMUNITY CENTER,"5969 PARTLOW RD SPOTSYLVANIA, VA 22553-3071",False,102 - BLAYDES CORNER - 0000,False,-77.61936,38.1204,
BROCK ROAD ELEMENTARY SCHOOL,"10207 BROCK RD SPOTSYLVANIA, VA 22553-3919",False,"505 - BROCK - 0001, 505 - BROCK - 0000",False,-77.68171,38.28202,
CHANCELLOR ELEMENTARY SCHOOL,"5995 PLANK ROAD FREDERICKSBURG, VA 22407",False,204 - CHANCELLOR - 0000,False,-77.58227,38.29341,
CHANCELLOR HIGH SCHOOL,"6300 HARRISON RD FREDERICKSBURG, VA 22407-6363",False,603 - PIEDMONT - 0000,False,-77.55496,38.27368,
COURTHOUSE ROAD ELEMENTARY SCH,"9911 COURTHOUSE RD SPOTSYLVANIA, VA 22553-1703",False,"703 - FAIRVIEW - 0001, 703 - FAIRVIEW - 0000",False,-77.54698,38.23655,
COURTLAND ELEMENTARY SCHOOL,"6701 SMITH STATION ROAD SPOTSYLVANIA, VA 22553",False,"704 - GAYLE - 0000, 704 - GAYLE - 0001",False,-77.55173,38.23211,
J J WRIGHT EDUC & CULTURAL CENTER,"7565 COURTHOUSE RD SPOTSYLVANIA, VA 22553-2706",False,"103 - TRAVELERS REST - 0002, 103 - TRAVELERS REST - 0001, 103 - TRAVELERS REST - 0000",False,-77.59944,38.15499,
"KNIGHTS OF PYTHIAS, LODGE 22","330 WALLACE LN. FREDERICKSBURG, VA 22408",False,"702 - BRENTS MILL - 0000, 702 - BRENTS MILL - 0002, 702 - BRENTS MILL - 0004, 702 - BRENTS MILL - 0003, 702 - BRENTS MILL - 0005, 702 - BRENTS MILL - 0001",False,-77.49937,38.26507,
LEE HILL COMMUNITY BUILDING,"H C C DRIVE FREDERICKSBURG, VA 22408",False,"401 - SUMMIT - 0000, 401 - SUMMIT - 0001",False,-77.42045,38.25267,
LEE HILL ELEMENTARY SCHOOL,"3600 LEE HILL SCHOOL DR FREDERICKSBURG, VA 22408-9438",False,"403 - LEE HILL - 0000, 403 - LEE HILL - 0001",False,-77.45998,38.2271,
LIVINGSTON ELEMENTARY SCHOOL,"6057 COURTHOUSE RD SPOTSYLVANIA, VA 22553-6109",False,"502 - BROKENBURG - 00001, 502 - BROKENBURG - 0000",False,-77.73729,38.12353,
MASSAPONAX HIGH SCHOOL,"8201 JEFFERSON DAVIS HWY FREDERICKSBURG, VA 22407-8721",False,"104 - MASSAPONAX - 0001, 104 - MASSAPONAX - 0000",False,-77.51117,38.18112,
NI RIVER MIDDLE SCHOOL,"11632 CATHARPIN RD SPOTSYLVANIA, VA 22553-3607",False,"203 - NI RIVER / ELYS FORD - 0000, 203 - NI RIVER / ELYS FORD - 0001",False,-77.62846,38.27108,
PARKSIDE ELEMENTARY SCHOOL,"5620 SMITH STATION ROAD FREDERICKSBURG, VA 22407",False,"402 - PARKSIDE - 0000, 402 - PARKSIDE - 0002, 402 - PARKSIDE - 0003, 402 - PARKSIDE - 0001",False,-77.53104,38.19927,
PARTLOW FIRE STATION,"3221 PARTLOW RD PARTLOW, VA 22534-9569",False,101 - PARTLOW - 0000,False,-77.66082,38.04931,
PUBLIC SAFETY BUILDING,"9119 DEAN RIDINGS LANE SPOTSYLVANIA, VA 22553",False,504 - COURTHOUSE - 0000,False,-77.58442,38.20142,
RIVERBEND HIGH SCHOOL,"12301 SPOTSWOOD FURNACE RD FREDERICKSBURG, VA 22407",False,"303 - RIVERBEND - 0002, 303 - RIVERBEND - 0000, 303 - RIVERBEND - 0001, 303 - RIVERBEND - 0003",False,-77.57537,38.29502,
SALEM CHURCH LIBRARY,"2607 SALEM CHURCH RD FREDERICKSBURG, VA 22407-6451",False,302 - HAZEL RUN - 0000,False,-77.53337,38.27664,
SALEM ELEMENTARY SCHOOL,"4501 JACKSON ROAD FREDERICKSBURG, VA 22407",False,301 - PLANK ROAD - 0000,False,-77.53355,38.28445,
SMITH STATION ELEMENTARY SCHL,"7320 SMITH STATION ROAD FREDERICKSBURG, VA 22407",False,602 - SMITH STATION - 0000,False,-77.5803,38.25246,
SPOTSWOOD ELEMENTARY SCHOOL,"400 LORRAINE AVE FREDERICKSBURG, VA 22408-1929",False,"701 - BATTLEFIELD - 0000, 701 - BATTLEFIELD - 0001",False,-77.48641,38.25558,
SPOTSYLVANIA HIGH SCHOOL,"6975 COURTHOUSE ROAD SPOTSYLVANIA, VA 22551",False,503 - POST OAK - 0000,False,-77.65504,38.15849,
WILDERNESS ELEMENTARY SCHOOL,"11600 CATHARPIN RD SPOTSYLVANIA, VA 22553",False,201 - WILDERNESS SCHOOL - 0000,False,-77.62632,38.27426,
WILDERNESS FIRE & RESCUE BLDG,"10501 ORANGE PLANK RD SPOTSYLVANIA, VA 22553-4225",False,"202 - WILDERNESS FIRE - 0001, 202 - WILDERNESS FIRE - 0000",False,-77.70421,38.30336,
Spotsylvania County Registrar Office,4708 SOUTHPOINT PKWY FREDERICKSBURG VA 22407,True,Locality wide location,False,-77.5006,38.23224,
